geo_pict,time_period,imports_t,type,obs_value,Name,import_hab_kg
AS,2005,18,Fruits,59120,Samoa Américaines,0.30446549391069017
AS,2006,2,Fruits,58400,Samoa Américaines,0.03424657534246575
AS,2007,3,Fruits,57670,Samoa Américaines,0.05202011444425178
AS,2008,24,Fruits,56950,Samoa Américaines,0.42142230026338895
AS,2009,16,Fruits,56220,Samoa Américaines,0.28459622909996446
AS,2010,13,Fruits,55502,Samoa Américaines,0.23422579366509316
AS,2011,41,Fruits,55660,Samoa Américaines,0.7366151634926339
AS,2012,2,Fruits,55799,Samoa Américaines,0.03584293625333787
AS,2013,5,Fruits,55930,Samoa Américaines,0.08939746111210442
AS,2014,84,Fruits,56050,Samoa Américaines,1.4986619090098126
AS,2015,2,Fruits,56181,Samoa Américaines,0.035599223936918174
AS,2016,0,Fruits,56303,Samoa Américaines,0
AS,2018,2,Fruits,56556,Samoa Américaines,0.035363179857132755
FJ,1995,26957,Légumes et tubercules,775500,Fiji,34.760799484203744
FJ,1996,28284,Légumes et tubercules,782600,Fiji,36.141068234091485
FJ,1997,35653,Légumes et tubercules,789800,Fiji,45.14180805267156
FJ,1998,32784,Légumes et tubercules,796900,Fiji,41.13941523403187
FJ,1999,35966,Légumes et tubercules,804100,Fiji,44.728267628404424
